,Unnamed: 0,LCH,Lab,RGB,name
0,0,"(50, 100, 0.0)","(50, 100, 0)","(255, 0, 123)",fuchsia
1,1,"(50, 100, 30.0)","(50, 87, 50)","(247,0,43)",red
2,2,"(50, 100, 60.0)","(50, 50, 87)","(204,75,0)",terracotta
3,3,"(50, 100, 90.0)","(50, 0, 100)","(140,117,0)",olive
4,4,"(50, 100, 120.0)","(50, -50, 87)","(31,138,0)",kelly
5,5,"(50, 100, 150.0)","(50, -87, 50)","(0,148,0)",leaf
6,6,"(50, 100, 180.0)","(50, -100, 0)","(0,151,116)",teal
7,7,"(50, 100, 210.0)","(50, -87, -50)","(0,151,203)",atoll
8,8,"(50, 100, 240.0)","(50, -50, -87)","(0,145,255)",azure
9,9,"(50, 100, 270.0)","(50, 0, -100)","(0,127,255)",blue
10,10,"(50, 100, 300.0)","(50, 50, -87)","(123,88,255)",purple
11,11,"(50, 100, 330.0)","(50, 87, -50)","(220,0,207)",lilac
