row,column,HEX
0,0,#dbdcd7
0,1,#e0decf
0,2,#dbd7cb
0,3,#eff0e2
0,4,#c4c2a9
0,5,#b7b19b
0,6,#f2cdbd
0,7,#fba79d
0,8,#e58382
0,9,#ffddd6
1,0,#c4c4ba
1,1,#99978b
1,2,#66635a
1,3,#e3e4df
1,4,#7c8582
1,5,#3d4343
1,6,#ffbac8
1,7,#fea6b6
1,8,#e57186
1,9,#ffe3df
2,0,#a6a785
2,1,#7d7e5c
2,2,#555146
2,3,#e1e6cf
2,4,#869375
2,5,#3e4436
2,6,#96d4bb
2,7,#7abba5
2,8,#4a846e
2,9,#d3fff9
3,0,#d5ae85
3,1,#c39772
3,2,#987e65
3,3,#e6d5c3
3,4,#6e5d4b
3,5,#433535
3,6,#59c1b6
3,7,#3ca294
3,8,#146159
3,9,#d6fffc
4,0,#8e6255
4,1,#895154
4,2,#6e3139
4,3,#dfcac7
4,4,#4d3938
4,5,#4d2f39
4,6,#60adcb
4,7,#3578ad
4,8,#1c4a6e
4,9,#d5f4ff
5,0,#e7ce98
5,1,#f2c99b
5,2,#f3c683
5,3,#fdedcb
5,4,#dab684
5,5,#c8a973
5,6,#8991c0
5,7,#575e94
6,0,#ea9996
6,1,#e87a7b
6,2,#b84e5c
6,3,#ffcdcc
6,4,#d28277
